season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,1/1/2012 12:22,Morton Street,6,17,0,72,108
Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,1/1/2012 12:29,Uphams Corner,7,6,0,78,109
Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,1/1/2012 12:42,South Station,8,0,78,0,110
Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,1/1/2012 12:55,Readville,4,54,0,54,111
Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,1/1/2012 12:58,Fairmount,5,41,0,95,112
Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,1/1/2012 13:02,Morton Street,6,19,0,114,113
Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,1/1/2012 13:09,Uphams Corner,7,10,1,123,114
Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,1/1/2012 13:20,South Station,8,0,123,0,115
Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,1/1/2012 13:35,Readville,4,15,0,15,116
Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,1/1/2012 13:38,Fairmount,5,25,1,39,117
Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,1/1/2012 13:42,Morton Street,6,6,0,45,118
Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,1/1/2012 13:49,Uphams Corner,7,8,0,53,119
Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,1/1/2012 14:00,South Station,8,0,53,0,120
Spring 2012,CR-Fairmount,Fairmount Line,756,1,day_type_01,weekday,1/1/2012 18:00,Readville,4,0,0,0,121
Spring 2012,CR-Fairmount,Fairmount Line,756,1,day_type_01,weekday,1/1/2012 18:03,Fairmount,5,3,0,3,122
Spring 2012,CR-Fairmount,Fairmount Line,756,1,day_type_01,weekday,1/1/2012 18:07,Morton Street,6,1,0,4,123
Spring 2012,CR-Fairmount,Fairmount Line,756,1,day_type_01,weekday,1/1/2012 18:14,Uphams Corner,7,0,0,4,124
Spring 2012,CR-Fairmount,Fairmount Line,756,1,day_type_01,weekday,1/1/2012 18:25,South Station,8,0,4,0,125
Spring 2012,CR-Fairmount,Fairmount Line,758,1,day_type_01,weekday,1/1/2012 20:00,Readville,4,0,0,0,126
Spring 2012,CR-Fairmount,Fairmount Line,758,1,day_type_01,weekday,1/1/2012 20:03,Fairmount,5,0,0,0,127
Spring 2012,CR-Fairmount,Fairmount Line,758,1,day_type_01,weekday,1/1/2012 20:07,Morton Street,6,0,0,0,128
Spring 2012,CR-Fairmount,Fairmount Line,758,1,day_type_01,weekday,1/1/2012 20:14,Uphams Corner,7,0,0,0,129
Spring 2012,CR-Fairmount,Fairmount Line,758,1,day_type_01,weekday,1/1/2012 20:25,South Station,8,0,0,0,130
Spring 2012,CR-Fairmount,Fairmount Line,760,1,day_type_01,weekday,1/1/2012 21:10,Readville,4,4,0,4,131
Spring 2012,CR-Fairmount,Fairmount Line,760,1,day_type_01,weekday,1/1/2012 21:13,Fairmount,5,1,0,5,132
Spring 2012,CR-Fairmount,Fairmount Line,760,1,day_type_01,weekday,1/1/2012 21:17,Morton Street,6,3,0,8,133
Spring 2012,CR-Fairmount,Fairmount Line,760,1,day_type_01,weekday,1/1/2012 21:24,Uphams Corner,7,3,0,11,134
Spring 2012,CR-Fairmount,Fairmount Line,760,1,day_type_01,weekday,1/1/2012 21:35,South Station,8,0,11,0,135
Spring 2012,CR-Fairmount,Fairmount Line,762,1,day_type_01,weekday,1/1/2012 22:06,Readville,4,5,0,5,136
Spring 2012,CR-Fairmount,Fairmount Line,762,1,day_type_01,weekday,1/1/2012 22:09,Fairmount,5,1,0,6,137
Spring 2012,CR-Fairmount,Fairmount Line,762,1,day_type_01,weekday,1/1/2012 22:13,Morton Street,6,1,0,7,138
Spring 2012,CR-Fairmount,Fairmount Line,762,1,day_type_01,weekday,1/1/2012 22:20,Uphams Corner,7,6,2,11,139
Spring 2012,CR-Fairmount,Fairmount Line,762,1,day_type_01,weekday,1/1/2012 22:31,South Station,8,0,11,0,140
Spring 2012,CR-Fairmount,Fairmount Line,764,1,day_type_01,weekday,1/1/2012 22:46,Readville,4,0,0,0,141
Spring 2012,CR-Fairmount,Fairmount Line,764,1,day_type_01,weekday,1/1/2012 22:49,Fairmount,5,0,0,0,142
Spring 2012,CR-Fairmount,Fairmount Line,764,1,day_type_01,weekday,1/1/2012 22:53,Morton Street,6,0,0,0,143
Spring 2012,CR-Fairmount,Fairmount Line,764,1,day_type_01,weekday,1/1/2012 23:00,Uphams Corner,7,0,0,0,144
Spring 2012,CR-Fairmount,Fairmount Line,764,1,day_type_01,weekday,1/1/2012 23:11,South Station,8,0,0,0,145
Spring 2012,CR-Fairmount,Fairmount Line,766,1,day_type_01,weekday,1/1/2012 23:21,Readville,4,1,0,1,146
Spring 2012,CR-Fairmount,Fairmount Line,766,1,day_type_01,weekday,1/1/2012 23:43,South Station,8,0,1,0,147
Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,1/2/2012 0:10,Readville,4,0,0,0,148
Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,1/2/2012 0:13,Fairmount,5,0,0,0,149
Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,1/2/2012 0:17,Morton Street,6,0,0,0,150
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 12:35,Shirley,3,15,4,79,151
Spring 2012,CR-Fairmount,Fairmount Line,755,0,day_type_01,weekday,1/1/2012 17:31,Readville,5,0,2,0,152
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 12:41,Ayer,4,28,4,103,153
Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,1/1/2012 19:05,South Station,1,8,0,8,154
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 12:50,Littleton/Rte 495,5,40,0,143,155
Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,1/1/2012 19:16,Uphams Corner,2,1,0,9,156
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 12:58,South Acton,6,57,4,196,157
